 ST3215 Memory Table Parsing -V3.7,,,,,,,,,,,,
,,,No-load speed（RPM）,,50 ,,Test voltage (V),,,7.4V,,
,,,No-load speed (step/second),,3400,,No-load Current (mA),,,150,,
,,,Maximum effective angle (degree),,360,"Supports multi-turn large-angle control, does not retain revolution count after power loss.",,,,,,
,,,Resolution (step),,4096,,,,,,,
,,,Minimum resolution angle (degree/step),,0.087890625,,Electronic dead zone (degree),,,0.17578125,,
,,,Acceleration (degree/s^2),,8.7890625,,,,,,,
,,Memory First Address,,Function,Number of Bytes,Initial Value,Storage Area,Permission,Minimum Value,Maximum Value,Unit,Value Parsing
0x,,DEC,HEX,,Little-endian,,,,,,,"If the functional address uses a two-byte data format, with the low-order byte at the preceding address and the high-order byte at the succeeding address."
0,,0,0,Firmware major version number,1,3,EPROM,read only,-1,-1,,
1,,1,1,Firmware minor version number,1,7,EPROM,read only,-1,-1,,
3,,3,3,Servo major version number,1,9,EPROM,read only,-1,-1,,
4,,4,4,Servo minor version number,1,3,EPROM,read only,-1,-1,,
5,,5,0x5,ID,1,1,EPROM,read/write,0,253,Baud,"A unique identification code on the bus, with no duplicate ID numbers allowed on the same bus. ID number 254 (0xFE) is the broadcast ID, and broadcasts do not receive response packets."
6,,6,0x6,Baudrate,1,0,EPROM,read/write,0,7,None,"0-7 respectively represent baud rates as follows: 
1000000, 500000, 250000, 128000, 115200, 76800, 57600, 38400"
7,,7,0x7,Return delay,1,0,EPROM,read/write,0,254,2us,"The minimum unit is 2us, and the maximum allowable setting for response delay is 254*2=508us"
8,,8,0x8,Response status level,1,1,EPROM,read/write,0,1,None,"0: Except for read and PING instructions, other instructions do not return response packets.
1: Return response packets for all instructions"
9,,9,0x9,Minimum angle,2,0,EPROM,read/write,-32766,--,Step,"Set the minimum value limit for the motion range, which should be smaller than the maximum angle limit. When performing multi-turn absolute position control, this value is set to 0."
B,,11,0xB,Maximum angle,2,4095,EPROM,read/write,--,32767,Step,"Set the maximum value limit for the motion range, which should be greater than the minimum angle limit. When performing multi-turn absolute position control, this value is set to 0."
D,,13,0xD,Maximum temperature,1,70,EPROM,read/write,0,100,°C,"The maximum operating temperature limit, when set to 70, means the maximum temperature is 70 degrees Celsius, with a precision setting of 1 degree Celsius."
E,,14,0xE,Maximum input voltage,1,80,EPROM,read/write,0,254,0.1V,"If the maximum input voltage is set to 80, then the maximum operating voltage limit is 8.0V, with a precision setting of 0.1V."
F,,15,0xF,Minimum input voltage,1,40,EPROM,read/write,0,254,0.1V,"If the minimum input voltage is set to 40, then the minimum operating voltage limit is 4.0V, with a precision setting of 0.1V."
10,,16,0x10,Maximum torque,2,1000,EPROM,read/write,0,1000,0.10%,"Set the maximum output torque limit for the servo motor, where 1000 corresponds to 100% of the locked-rotor torque. Assign this value to address 48 upon power-up as the torque limit."
12,,18,0x12,Phase,1,12,EPROM,read/write,0,254,None,"Special function byte, do not modify unless there are specific requirements. Please refer to the special byte bit analysis for further details."
13,,19,0x13,Unloading conditions,1,44,EPROM,read/write,0,254,None,"Bit0  Bit1  Bit2 Bit3 Bit4 Bit5 set corresponding bit to 1 to enable the corresponding protection.
Voltage Sensor Temperature Current Angle Overload set corresponding bit to 0 to disable the corresponding protection"
14,,20,0x14,LED alarm conditions,1,47,EPROM,read/write,0,254,None,"Bit0  Bit1  Bit2 Bit3 Bit4 Bit5 set the corresponding bit to 1 to enable flashing  LED.
Voltage Sensor Temperature Current Angle Overload set corresponding bit to 0 to disable the corresponding protection"
15,,21,0x15,Position loop P (Proportional) coefficient,1,32,EPROM,read/write,0,254,None,Proportional coefficient of control motor
16,,22,0x16,Position loop D (Differential) coefficient,1,32,EPROM,read/write,0,254,None,Differential coefficient of control motor
17,,23,0x17,Position loop I (Integral) coefficient,1,0,EPROM,read/write,0,254,None,Integral coefficient of the control motor
18,,24,0x18,Minimum starting force,2,16,EPROM,read/write,0,1000,0.1%,"Set the minimum output startup torque for the servo, where 1000 corresponds to 100% of the locked-rotor torque."
1A,,26,0x1A,Clockwise insensitive zone,1,1,EPROM,read/write,0,32,Step,The minimum unit is one minimum resolution angle.
1B,,27,0x1B,Anti-clockwise insensitive zone,1,1,EPROM,read/write,0,32,Step,The minimum unit is a minimum resolution angle.
1C,,28,0x1C,Protection current,2,500,EPROM,read/write,0,511,6.5mA,The maximum settable current is 500 * 6.5mA= 3250mA.
1E,,30,0x1E,Angle resolution,1,1,EPROM,read/write,1,3,None,"For the amplification factor of the minimum resolution angle (degree/step) of the sensor, modifying this value can expand the number of control range. When performing the multi-turn control, you need to modify the parameter at address 0x12 by setting BIT4 to 1. This modification will result in the current position feedback value being adjusted to reflect the larger angle feedback."
